Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258797
Error,901
Error Relativo,0.003494
Peor Costo,259540
Costo Promedio,259201
Desviación Estándar Costo,235.6334
Tiempo Promedio de Ejecución,0.081283s
Mejor Tiempo de Ejecución,0.069148s
Desviación del Tiempo,0.006294 %
Semilla Mejor Costo,5
