Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258021
Error,125
Error Relativo,0.000485
Peor Costo,258245
Costo Promedio,258107
Desviación Estándar Costo,77.4812
Tiempo Promedio de Ejecución,0.462702s
Mejor Tiempo de Ejecución,0.430746s
Desviación del Tiempo,0.015367 %
Semilla Mejor Costo,7
