Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258437
Error,541
Error Relativo (%),0.21
Peor Costo,259000
Costo Promedio,258723
Desviacion Estándar Costo,178.4923
Tiempo Promedio de Ejecucion (s),0.205664
Desviacion Porcentual (%),0.217848
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,3
