Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258794
Error,898
Error Relativo (%),0.35
Peor Costo,259279
Costo Promedio,259027
Desviacion Estándar Costo,169.6225
Tiempo Promedio de Ejecucion (s),0.106257
Desviacion Porcentual (%),0.187408
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,4
