Seed 2: Mejor Costo = 258492, Tiempo = 0.16188s, Generación Óptima = None
Seed 3: Mejor Costo = 258146, Tiempo = 0.18864s, Generación Óptima = None
Seed 5: Mejor Costo = 258414, Tiempo = 0.16031s, Generación Óptima = None
Seed 7: Mejor Costo = 258356, Tiempo = 0.18476s, Generación Óptima = None
Seed 11: Mejor Costo = 258320, Tiempo = 0.17276s, Generación Óptima = None
Seed 13: Mejor Costo = 258206, Tiempo = 0.17881s, Generación Óptima = None
Seed 17: Mejor Costo = 258213, Tiempo = 0.16487s, Generación Óptima = None
Seed 19: Mejor Costo = 258516, Tiempo = 0.17847s, Generación Óptima = None
Seed 23: Mejor Costo = 258486, Tiempo = 0.16334s, Generación Óptima = None
