Métrica,Valor
Costo Objetivo,21864
Mejor Costo,21864
Peor Costo,21864
Costo Promedio,21864
Desviación Estándar Costo,0.0000
Tiempo Promedio de Ejecución,0.037036s
Mejor Tiempo de Ejecución,0.015286s
Desviación del Tiempo,0.016876
Generación Óptima Promedio,24.78
Generación más Rápida,11
Semilla más Rápida,2
