Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258465
Error,569
Error Relativo (%),0.22
Peor Costo,258865
Costo Promedio,258676
Desviacion Estándar Costo,136.9404
Tiempo Promedio de Ejecucion (s),0.126627
Desviacion Porcentual (%),0.154760
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,0
