Métrica,Valor
Costo Objetivo,257573
Mejor Costo,257639
Error,66
Error Relativo,0.000256
Peor Costo,258150
Costo Promedio,257841
Desviación Estándar Costo,149.2213
Tiempo Promedio de Ejecución,2.296424s
Mejor Tiempo de Ejecución,2.228299s
Desviación del Tiempo,0.034027 %
Semilla Mejor Costo,7
